Date,SPY Price,Prev Shift Count,New Shift Count,Warning Mode Change,Changed Core Models,Market Regime,Bear Trap,Bull Trap,ETF Rotation,200MA Strategy,ML Meta-Indicator,Combined Macro + RWRA,Market Pulse
2022-02-09,430.51,0,5,Triggered,"Market Regime, Bull Trap, ETF Rotation, 200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),LOW CONFIDENCE (REDUCE),STRONG BULL | REBALANCE,CAUTION / MIXED
2022-02-14,413.08,3,1,Cleared,Combined Macro + RWRA,HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2022-02-16,420.21,2,3,Triggered,"Bull Trap, ML Meta-Indicator, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | HOLD,CAUTION / MIXED
2022-02-22,404.19,3,2,Cleared,"ML Meta-Indicator, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,RISK OFF | REBALANCE,DEFENSIVE
2022-03-01,404.58,1,4,Triggered,"Market Regime, 200MA Strategy, ML Meta-Indicator, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,RISK OFF | REBALANCE,DEFENSIVE
2022-03-04,406.64,4,2,Cleared,"Market Regime, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,RISK OFF | HOLD,CAUTION / MIXED
2022-03-09,402.16,2,3,Triggered,"Market Regime, ML Meta-Indicator, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,RISK OFF | REBALANCE,CAUTION / MIXED
2022-03-10,400.34,3,2,Cleared,"Market Regime, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,RISK OFF | HOLD,CAUTION / MIXED
2022-03-16,409.88,1,3,Triggered,"Market Regime, Bull Trap, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),NEUTRAL | REBALANCE,CAUTION / MIXED
2022-03-18,419.56,3,0,Cleared,None,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | HOLD,CAUTION / MIXED
2022-03-28,430.31,1,3,Triggered,"ETF Rotation, 200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,BULLISH (Wait for Exit),NEUTRAL / CAUTION,STRONG BULL | REBALANCE,STRONGLY BULLISH
2022-03-29,435.63,3,2,Cleared,"Bull Trap, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),NEUTRAL / CAUTION,STRONG BULL | HOLD,STRONGLY BULLISH
2022-03-31,426.28,0,3,Triggered,"ETF Rotation, 200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,BULL | REBALANCE,CAUTION / MIXED
2022-04-01,427.49,3,2,Cleared,"ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,CAUTION (Trend Testing),NEUTRAL / CAUTION,STRONG BULL | REBALANCE,CAUTION / MIXED
2022-04-05,425.7,2,3,Triggered,"ETF Rotation, 200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,BULL | REBALANCE,CAUTION / MIXED
2022-04-06,421.44,3,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2022-06-09,378.9,1,3,Triggered,"Market Regime, ML Meta-Indicator, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),NEUTRAL | REBALANCE,CAUTION / MIXED
2022-06-10,367.91,3,2,Cleared,"Bull Trap, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),NEUTRAL | HOLD,DEFENSIVE
2022-06-24,369.76,0,3,Triggered,"Market Regime, ML Meta-Indicator, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2022-06-28,360.83,3,2,Cleared,"ML Meta-Indicator, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,RISK OFF | HOLD,DEFENSIVE
2022-07-15,365.07,1,3,Triggered,"Market Regime, Bull Trap, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2022-07-18,362.06,3,1,Cleared,Combined Macro + RWRA,EARLY WARNING,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,NEUTRAL | HOLD,CAUTION / MIXED
2022-08-12,404.86,1,3,Triggered,"200MA Strategy, ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),BULL | REBALANCE,STRONGLY BULLISH
2022-08-15,406.52,3,2,Cleared,"ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,BULL | HOLD,STRONGLY BULLISH
2022-08-16,407.32,2,3,Triggered,"Bull Trap, ETF Rotation, ML Meta-Indicator",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),BULL | HOLD,STRONGLY BULLISH
2022-08-17,404.43,3,2,Cleared,"Bull Trap, ETF Rotation",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),BULL | HOLD,STRONGLY BULLISH
2022-11-30,388.04,0,3,Triggered,"Bull Trap, 200MA Strategy, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BULLISH / LOW RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,BULL | REBALANCE,STRONGLY BULLISH
2022-12-02,387.3,4,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,CAUTION (Trend Testing),NEUTRAL / CAUTION,STRONG BULL | HOLD,CAUTION / MIXED
2022-12-05,380.34,1,3,Triggered,"Market Regime, ETF Rotation, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2022-12-06,374.85,3,2,Cleared,"200MA Strategy, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,NEUTRAL | HOLD,CAUTION / MIXED
2022-12-30,365.67,1,3,Triggered,"Market Regime, Bull Trap, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,NEUTRAL | HOLD,CAUTION / MIXED
2023-01-03,364.13,3,0,Cleared,None,LOW RISK REGIME,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,NEUTRAL | HOLD,CAUTION / MIXED
2023-01-18,374.34,1,3,Triggered,"Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2023-01-19,371.61,3,2,Cleared,"Bull Trap, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | HOLD,CAUTION / MIXED
2023-01-20,378.53,2,3,Triggered,"Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,CAUTION (Trend Testing),NEUTRAL / CAUTION,STRONG BULL | REBALANCE,CAUTION / MIXED
2023-01-23,383.08,3,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,CAUTION (Trend Testing),NEUTRAL / CAUTION,STRONG BULL | HOLD,CAUTION / MIXED
2023-02-21,381.6,1,4,Triggered,"Market Regime, Bull Trap, 200MA Strategy, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2023-02-23,383.1,3,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,BULL | HOLD,CAUTION / MIXED
2023-03-02,380.38,0,3,Triggered,"Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,CAUTION (Trend Testing),NEUTRAL / CAUTION,BULL | REBALANCE,CAUTION / MIXED
2023-03-03,386.48,3,2,Cleared,"200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),NEUTRAL / CAUTION,STRONG BULL | REBALANCE,CAUTION / MIXED
2023-03-09,374.4,1,4,Triggered,"Market Regime, Bull Trap, ETF Rotation, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,DEFENSIVE
2023-03-10,369.0,4,2,Cleared,"Market Regime, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | HOLD,DEFENSIVE
2023-03-13,368.48,2,3,Triggered,"Market Regime, 200MA Strategy, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,RISK OFF | REBALANCE,DEFENSIVE
2023-03-15,372.22,3,2,Cleared,"Market Regime, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,RISK OFF | REBALANCE,DEFENSIVE
2023-05-24,394.58,1,3,Triggered,"Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2023-05-26,403.15,3,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),NEUTRAL / CAUTION,STRONG BULL | REBALANCE,CAUTION / MIXED
2023-10-19,412.27,1,3,Triggered,"ETF Rotation, 200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2023-10-20,407.21,3,1,Cleared,Market Regime,EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2023-10-24,409.56,1,3,Triggered,"Market Regime, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BEARISH / HIGH RISK,NORMAL,CAUTION (Trend Testing),NEUTRAL / CAUTION,BULL | REBALANCE,CAUTION / MIXED
2023-10-26,398.85,3,2,Cleared,"200MA Strategy, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),NEUTRAL / CAUTION,NEUTRAL | HOLD,DEFENSIVE
2023-11-02,416.46,2,4,Triggered,"Market Regime, Bull Trap, ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),STRONG BULL | REBALANCE,CAUTION / MIXED
2023-11-03,420.26,4,2,Cleared,"200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,BULLISH (Wait for Exit),LOW CONFIDENCE (REDUCE),STRONG BULL | HOLD,CAUTION / MIXED
2024-08-02,520.58,0,3,Triggered,"Market Regime, ETF Rotation, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,DEFENSIVE
2024-08-05,505.42,3,2,Cleared,"Bull Trap, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,CRISIS | REBALANCE,DEFENSIVE
2024-08-08,518.38,0,3,Triggered,"Market Regime, Bull Trap, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,BULL | REBALANCE,DEFENSIVE
2024-08-09,520.66,3,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,BULL | HOLD,CAUTION / MIXED
2024-08-13,529.5,0,3,Triggered,"ETF Rotation, ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),LOW CONFIDENCE (REDUCE),STRONG BULL | REBALANCE,CAUTION / MIXED
2024-08-14,531.18,3,2,Cleared,"ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),NEUTRAL / CAUTION,STRONG BULL | HOLD,CAUTION / MIXED
2024-09-03,539.31,0,3,Triggered,"Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),LOW CONFIDENCE (REDUCE),BULL | REBALANCE,CAUTION / MIXED
2024-09-04,538.21,3,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),LOW CONFIDENCE (REDUCE),BULL | HOLD,CAUTION / MIXED
2024-10-03,556.39,1,3,Triggered,"Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,BULL | REBALANCE,CAUTION / MIXED
2024-10-04,561.45,3,2,Cleared,"ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,BULLISH (Wait for Exit),NEUTRAL / CAUTION,STRONG BULL | REBALANCE,CAUTION / MIXED
2024-10-07,556.37,2,3,Triggered,"Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,BULL | REBALANCE,CAUTION / MIXED
2024-10-08,561.63,3,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,BULL | HOLD,CAUTION / MIXED
2024-10-16,570.58,2,3,Triggered,"ETF Rotation, ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),HIGH CONFIDENCE (BUY/HOLD),STRONG BULL | REBALANCE,CAUTION / MIXED
2024-10-17,570.63,3,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),HIGH CONFIDENCE (BUY/HOLD),STRONG BULL | HOLD,CAUTION / MIXED
2024-10-28,569.14,2,3,Triggered,"ETF Rotation, ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),NEUTRAL / CAUTION,STRONG BULL | REBALANCE,CAUTION / MIXED
2024-10-29,570.06,3,2,Cleared,"ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),HIGH CONFIDENCE (BUY/HOLD),STRONG BULL | HOLD,CAUTION / MIXED
2024-12-18,574.48,1,3,Triggered,"Market Regime, ETF Rotation, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2024-12-19,574.3,3,2,Cleared,"Market Regime, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,NEUTRAL | HOLD,CAUTION / MIXED
2025-03-10,551.14,0,3,Triggered,"Market Regime, 200MA Strategy, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),NEUTRAL | REBALANCE,DEFENSIVE
2025-03-11,546.56,3,1,Cleared,Combined Macro + RWRA,HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),NEUTRAL | HOLD,DEFENSIVE
2025-03-24,566.12,0,4,Triggered,"Market Regime, Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),BULL | REBALANCE,CAUTION / MIXED
2025-03-25,567.48,4,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),BULL | HOLD,CAUTION / MIXED
2025-03-28,547.95,2,3,Triggered,"Market Regime, 200MA Strategy, Combined Macro + RWRA",EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),NEUTRAL | REBALANCE,CAUTION / MIXED
2025-03-31,551.63,3,1,Cleared,Combined Macro + RWRA,EARLY WARNING,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),NEUTRAL | HOLD,CAUTION / MIXED
2025-04-03,529.25,1,3,Triggered,"Market Regime, 200MA Strategy, Combined Macro + RWRA",HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),RISK OFF | REBALANCE,DEFENSIVE
2025-04-04,498.27,3,1,Cleared,Combined Macro + RWRA,HIGH RISK,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BEARISH (Keep Cash),LOW CONFIDENCE (REDUCE),CRISIS | REBALANCE,DEFENSIVE
2025-05-02,558.9,1,3,Triggered,"Bull Trap, 200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),NEUTRAL | REBALANCE,STRONGLY BULLISH
2025-05-05,555.69,3,2,Cleared,"Bull Trap, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),NEUTRAL | HOLD,STRONGLY BULLISH
2025-05-12,574.9,0,3,Triggered,"Bull Trap, ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),STRONG BULL | REBALANCE,STRONGLY BULLISH
2025-05-13,578.7,3,2,Cleared,"200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BULLISH / LOW RISK,NORMAL,BULLISH (Wait for Exit),LOW CONFIDENCE (REDUCE),STRONG BULL | HOLD,STRONGLY BULLISH
2025-05-21,574.77,0,4,Triggered,"Bull Trap, ETF Rotation, 200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),BULL | REBALANCE,CAUTION / MIXED
2025-05-22,575.0,4,1,Cleared,Combined Macro + RWRA,LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),BULL | HOLD,CAUTION / MIXED
2025-05-27,582.95,0,3,Triggered,"ETF Rotation, 200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),LOW CONFIDENCE (REDUCE),STRONG BULL | REBALANCE,CAUTION / MIXED
2025-05-28,579.58,3,2,Cleared,"200MA Strategy, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,CAUTION (Trend Testing),LOW CONFIDENCE (REDUCE),STRONG BULL | HOLD,CAUTION / MIXED
2025-08-01,614.91,1,3,Triggered,"ETF Rotation, ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,BULL | REBALANCE,CAUTION / MIXED
2025-08-04,624.25,3,2,Cleared,"ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,NORMAL,BULLISH (Wait for Exit),NEUTRAL / CAUTION,STRONG BULL | REBALANCE,CAUTION / MIXED
2025-10-10,647.65,0,4,Triggered,"Bull Trap, ETF Rotation, ML Meta-Indicator, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,BEARISH / HIGH RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
2025-10-14,656.79,3,2,Cleared,"ETF Rotation, Combined Macro + RWRA",LOW RISK REGIME,HIGH RISK,CAUTION / BULL TRAP RISK,EARLY WARNING,BULLISH (Wait for Exit),NEUTRAL / CAUTION,NEUTRAL | REBALANCE,CAUTION / MIXED
