Date,Buy_Hold,Sys_E_Original,Sys_E_Trap,Sys_E_Trap_Full
2004-08-20,100037.78222190544,103267.82274844695,103267.82274844695,103267.82274844695
2004-08-27,100916.12823288186,103434.99710554989,103434.99710554989,103434.99710554989
2004-09-03,101522.74682451147,103457.51888435698,103457.51888435698,103457.51888435698
2004-09-10,102373.93977718953,104158.4876482219,104158.4876482219,104158.4876482219
2004-09-17,102881.89155186618,104550.1730450732,104550.1730450732,104550.1730450732
2004-09-24,101345.28330346946,105041.32847774425,105041.32847774425,105041.32847774425
2004-10-01,103336.5524711873,104345.6302258627,104345.6302258627,104345.6302258627
2004-10-08,102299.98110370914,104593.37547148477,104593.37547148477,104593.37547148477
2004-10-15,101163.43758339646,104982.98653822672,104982.98653822672,104982.98653822672
2004-10-22,100008.62972055038,105532.84151139804,105532.84151139804,105532.84151139804
2004-10-29,102927.3400321237,105621.72739634578,105621.72739634578,105621.72739634578
2004-11-05,106637.08388792841,104971.33967220158,104971.33967220158,104971.33967220158
2004-11-12,108010.05895974262,112091.24609963788,109476.84097309917,109476.84097309917
2004-11-19,107080.80484938496,111533.0991869968,108939.58906874592,108939.58906874592
2004-11-26,107928.93129872218,118356.7973011256,113343.38787338324,113343.38787338324
2004-12-03,108749.70785339794,119574.41979958133,113456.66235283588,113456.66235283588
2004-12-10,108822.58910678558,116941.8476440313,113014.84969865366,113014.84969865366
2004-12-17,109437.47482566514,117638.16247047516,113243.55600128311,113243.55600128311
2004-12-24,110656.08874957939,119239.68697185862,113638.56130154783,113638.56130154783
2004-12-31,110747.74197612106,120521.81313971522,115286.41273895947,115286.41273895947
2005-01-07,108521.19119565452,118026.9255083517,114978.06977415532,114978.06977415532
2005-01-14,108337.97798084845,118497.7595036584,113512.28514424637,113512.28514424637
2005-01-21,107000.2055386023,115827.42955925943,113488.44863027816,113488.44863027816
2005-01-28,107595.7702144729,118124.70297762055,116018.07710410545,116018.07710410545
2005-02-04,110161.27321218711,126249.71746092016,120114.48882504836,120114.48882504836
2005-02-11,110656.08874957939,128029.14088129181,118051.9275088473,118051.9275088473
2005-02-18,110307.91630269206,129545.07691396122,118763.10824545874,118763.10824545874
2005-02-25,111260.85293547249,133689.24370280182,119640.09521121792,119640.09521121792
2005-03-04,112451.9615675965,134138.82746059468,120245.10941378502,120245.10941378502
2005-03-11,110307.91630269206,128329.72495749024,117358.01224220781,117358.01224220781
2005-03-18,109039.44062006356,128654.61272417025,118105.53313223294,118105.53313223294
2005-03-25,107751.64389442609,127878.3458371442,118288.26800124797,118288.26800124797
2005-04-01,108018.39860565265,129073.91648819475,117976.92101295252,117976.92101295252
2005-04-08,108542.76031712617,129122.73705623647,120841.11723316494,120841.11723316494
2005-04-15,105001.31155176672,130787.29554028832,115498.39263304976,115498.39263304976
2005-04-22,106307.52801706633,130963.80694901066,115654.27003616148,115654.27003616148
2005-04-29,106473.01559938537,131579.873749588,116749.83795118898,116749.83795118898
2005-05-06,107705.6670639308,131505.82135250568,120533.96007032771,120533.96007032771
2005-05-13,106445.45850855223,132325.6934274139,117773.70797544107,117773.70797544107
2005-05-20,109572.97076213382,132894.98731245767,121997.14899688725,121997.14899688725
2005-05-27,110612.40143678113,138148.93699142188,124277.1295066403,124277.1295066403
2005-06-03,110520.37525713045,137410.57286267728,123980.2326117495,123980.2326117495
2005-06-10,110566.42460628583,136863.865742233,124769.38275061031,124769.38275061031
2005-06-17,112084.02260593111,138349.25144406385,124151.8915044887,124151.8915044887
2005-06-24,109885.93021964452,137212.46606061378,123469.09476326626,123469.09476326626
2005-07-01,110393.861274704,136171.05069643547,126486.34670452491,126486.34670452491
2005-07-08,112047.0588089038,135975.72286612474,128618.44028830838,128618.44028830838
2005-07-15,113450.85431125507,139775.4482846353,130790.0723061,130790.0723061
2005-07-22,114097.36852574123,138530.16374660653,129784.9355076404,129784.9355076404
2005-07-29,114282.10463240913,135795.91395799053,128884.03032678386,128884.03032678386
2005-08-05,113487.82846809096,136105.86145544675,128846.40834457561,128846.40834457561
2005-08-12,113653.99979777653,137076.064271006,129693.39822829352,129693.39822829352
2005-08-19,113109.12566530691,136258.77690454203,129296.42453772594,129296.42453772594
2005-08-26,111529.8764447789,135877.96938325322,129378.29016425154,129378.29016425154
2005-09-02,112924.44135768192,139747.3273884845,131051.40038808579,131051.40038808579
2005-09-09,115076.39115653587,144983.09973480555,131125.25498434814,131125.25498434814
2005-09-16,114545.92751780644,140900.20719326116,129099.74181230828,129099.74181230828
2005-09-23,112635.29910010559,137758.97283687384,127182.04226015875,127182.04226015875
2005-09-30,114119.30024051332,146221.18192377797,131270.93144612224,131270.93144612224
2005-10-07,110937.94806172125,144263.6906936586,131104.5123866164,131104.5123866164
2005-10-14,110066.11837034409,142771.28455514577,131235.78432628993,131235.78432628993
2005-10-21,109565.28378416458,143537.35929902404,131939.96248213327,131939.96248213327
2005-10-28,111114.23056458471,142249.04203260597,130755.73746485276,130755.73746485276
2005-11-04,113256.70113858441,152208.20986268576,136296.54779141827,136296.54779141827
2005-11-11,114787.0831420222,164930.8732383237,142306.31439390162,142306.31439390162
2005-11-18,116057.7551040705,166637.60220373372,142837.5254590836,142837.5254590836
2005-11-25,117912.7306300587,168483.97719571475,144479.48831676354,144479.48831676354
2005-12-02,117653.06202790352,170943.5364454172,147293.94943946865,147293.94943946865
2005-12-09,117170.77149908917,173873.92336547532,147850.54543433196,147850.54543433196
2005-12-16,117819.85494610413,172531.99744531405,145860.1987218843,145860.1987218843
2005-12-23,118192.81841493271,180165.039250429,149652.75209494046,149652.75209494046
2005-12-30,116094.89501784374,173405.37071054924,146712.56808277342,146712.56808277342
2006-01-06,119759.26291205102,176667.2247020207,147802.27355301648,147802.27355301648
2006-01-13,119983.02441765444,190795.27204798948,154942.33253207355,154942.33253207355
2006-01-20,117456.21530500105,183228.31474237703,152709.57213058943,152709.57213058943
2006-01-27,119852.50118930603,187925.8193709538,153839.95259958928,153839.95259958928
2006-02-03,117735.9612161918,179787.04801744336,150886.13136575336,150886.13136575336
2006-02-10,118080.92212241812,177982.4274712116,150631.67799230866,150631.67799230866
2006-02-17,120104.28597712886,183844.18219241282,151934.61032017868,151934.61032017868
2006-02-24,120663.75707989318,193763.74783668335,156454.3311425594,156454.3311425594
2006-03-03,120057.61503945844,198957.0043653889,157812.21322388353,157812.21322388353
2006-03-10,119899.14104755069,194391.05558559543,155821.67419909,155821.67419909
2006-03-17,122276.25092616689,200290.2396764347,160875.76364040797,160875.76364040797
2006-03-24,121892.47181717673,195852.3878413062,157629.4632046713,157629.4632046713
2006-03-31,121536.72635021457,199231.5667726609,159576.1101372214,159576.1101372214
2006-04-07,121265.23720646519,190136.84367722552,156506.924236107,156506.924236107
2006-04-14,120488.28264209928,191525.38851160434,158953.59427359104,158953.59427359104
2006-04-21,122772.44431810082,202243.25621594442,163921.47442775825,163921.47442775825
2006-04-28,123071.97746368682,198356.59113226822,160919.8192518492,160919.8192518492
2006-05-05,124054.94718155192,206109.57275385305,165040.04826098835,165040.04826098835
2006-05-12,120984.45531441605,201298.42036474304,166717.58027112405,166717.58027112405
2006-05-19,118981.08589027222,201725.5570382308,167684.62892153693,167684.62892153693
2006-05-26,120179.38422955347,206235.4784706721,167204.2542041395,167204.2542041395
2006-06-02,120759.77178584867,207513.80961697936,168531.15267774469,168531.15267774469
2006-06-09,117342.9411579448,195618.1304949869,163880.54314522207,163880.54314522207
2006-06-16,117203.38417651124,194073.36004626483,162586.4002172088,162586.4002172088
2006-06-23,117005.91586509375,192974.91896791756,168750.92704702943,168750.92704702943
2006-06-30,119676.2704854855,194525.0739791567,170106.49230189394,170106.49230189394
2006-07-07,119046.28016569064,194799.05487485565,172145.14656225266,172145.14656225266
2006-07-14,116140.8925679562,195329.4823875769,167538.88765392615,167538.88765392615
2006-07-21,116545.17373813388,195942.28095316692,173063.7069484737,173063.7069484737
2006-07-28,120334.47056405428,197298.89327779182,174261.91877212643,174261.91877212643
2006-08-04,120541.28342281445,198734.27432974146,170089.52644528996,170089.52644528996
2006-08-11,119422.42409575447,197716.2836962844,160092.25292167897,160092.25292167897
2006-08-18,122882.49656468749,200021.15183386713,161956.60037821738,161956.60037821738
2006-08-25,122055.14153156095,200413.72552202558,160069.0125544121,160069.0125544121
2006-09-01,123568.93748145594,201523.64086378537,159928.326082838,159928.326082838
2006-09-08,122497.01844708958,200929.96256494566,158550.27949275333,158550.27949275333
2006-09-15,124622.35389769153,201168.2646852476,166219.03477807058,166219.03477807058
2006-09-22,124159.62268748353,199724.15044620057,165165.6127917164,165165.6127917164
2006-09-29,126152.25934993444,198484.44706577063,164384.51633600888,164384.51633600888
2006-10-06,127502.76399693018,202368.7206106863,165419.2186895193,165419.2186895193
2006-10-13,129032.69016879029,209922.7773012951,168605.57649382355,168605.57649382355
2006-10-20,129231.02870412884,217800.3627324804,173224.5205987707,173224.5205987707
2006-10-27,130241.52443340136,219420.4820554811,173547.67468394584,173547.67468394584
2006-11-03,128947.66721974232,212046.43375181768,169201.84584895623,169201.84584895623
2006-11-10,130553.17855503048,216700.2392318537,170236.89001758271,170236.89001758271
2006-11-17,132611.91079624664,216931.79879892556,168661.21254909827,168661.21254909827
2006-11-24,132545.85665671574,216222.23949357372,168392.81724240765,168392.81724240765
2006-12-01,132423.06184557092,213439.09942789638,167467.07142777494,167467.07142777494
2006-12-08,133556.34202617963,225033.80532514563,171843.34332404533,171843.34332404533
2006-12-15,135174.09865521398,221223.38318862888,170767.700839752,170767.700839752
2006-12-22,133664.23943258086,218335.47863845146,169624.88771979226,169624.88771979226
2006-12-29,134490.43416714596,217692.6003934198,169169.53717770745,169169.53717770745
2007-01-05,133464.75095848952,215832.05420138838,170660.6519403773,170660.6519403773
2007-01-12,136028.88646147063,222806.89926090016,173466.46049344985,173466.46049344985
2007-01-19,135630.0545506081,221635.72460119583,172509.0742291227,172509.0742291227
2007-01-26,134974.73449882562,220299.99142729267,172007.39689998154,172007.39689998154
2007-02-02,137519.818313821,228506.10077734152,171583.5436239021,171583.5436239021
2007-02-09,136693.5924998301,220434.18543576784,169482.37275492967,169482.37275492967
2007-02-16,138393.51277074325,221270.5612882722,169243.3559500411,169243.3559500411
2007-02-23,137985.11875655776,221526.94765237128,170037.62042708384,170037.62042708384
2007-03-02,131688.8622112307,209173.20982962535,165385.218567028,165385.218567028
2007-03-09,133692.68746695222,212646.0456980432,164942.17257501784,164942.17257501784
2007-03-16,132077.73834604412,207824.77461221733,161931.45798465953,161931.45798465953
2007-03-23,136711.33885193433,215986.23014781892,162011.1092071434,162011.1092071434
2007-03-30,135386.17429673477,218270.03585949514,163743.85363200374,163743.85363200374
2007-04-06,137521.8073970691,225933.81184282768,167691.9867016762,167691.9867016762
2007-04-13,138551.51021145613,228398.58665706278,170194.782356537,170194.782356537
2007-04-20,141697.79443819172,231716.16127402533,171532.7876634252,171532.7876634252
2007-04-27,142565.48020613534,255692.78004452732,185163.11644351186,185163.11644351186
2007-05-04,143890.64476133487,258070.00149121732,186025.56677424748,186025.56677424748
2007-05-11,143833.44825814324,254721.63454130013,185318.2155233761,185318.2155233761
2007-05-18,145511.50933294435,244055.5149320057,181107.032075652,181107.032075652
2007-05-25,144624.82367605792,241927.68204478262,179086.29007961653,179086.29007961653
2007-06-01,146903.42213484988,243423.85838440084,179656.00020295152,179656.00020295152
2007-06-08,144005.03776771817,240735.31513045536,181508.09496374015,181508.09496374015
2007-06-15,146569.58766304265,250408.8573647861,183487.4409802345,183487.4409802345
2007-06-22,144156.58104768328,250869.96791675044,181235.755728996,181235.755728996
2007-06-29,144041.71149010514,254220.65308132223,182518.94857895325,182518.94857895325
2007-07-06,146483.38369581613,266798.4369313463,181288.976184958,181288.976184958
2007-07-13,148274.0040908812,280498.62705314864,185731.74061628347,185731.74061628347
2007-07-20,146981.27609635782,270674.5100021126,184328.68552000565,184328.68552000565
2007-07-27,138947.56569361818,282804.577605568,188876.6516542919,188876.6516542919
2007-08-03,137693.25186932387,271475.95067903673,184367.8230042936,184367.8230042936
2007-08-10,138564.59464969754,269962.5667343786,183340.0365556289,183340.0365556289
2007-08-17,138564.59464969754,264662.1827488369,181439.21251704215,181439.21251704215
2007-08-24,142030.86228416374,285134.8601718242,188261.67475084183,188261.67475084183
2007-08-31,141322.2720966429,289545.0245252578,189087.83550073756,189087.83550073756
2007-09-07,139866.84330830956,293963.7044719137,189631.89021186583,189631.89021186583
2007-09-14,142576.6066405544,302461.4796344857,192201.90442278128,192201.90442278128
2007-09-21,146206.62140949754,324116.0530710889,200704.67331164,200704.67331164
2007-09-28,146793.48384615767,329808.6305397001,202586.17974375503,202586.17974375503
2007-10-05,149939.49871787007,345693.7255508178,209322.55396310234,209322.55396310234
2007-10-12,150401.2250266454,346251.4431705953,209897.9863919243,209897.9863919243
2007-10-19,143993.81809502185,343377.88189843425,206669.83231908426,206669.83231908426
2007-10-26,147793.95128072097,372066.2882735543,218859.6268891597,218859.6268891597
2007-11-02,145465.85365651516,374871.8702996906,221926.94036607587,221926.94036607587
2007-11-09,139635.59166109998,342064.08146124106,211273.13034823275,211273.13034823275
2007-11-16,140260.97186607504,343113.77122923394,211921.46279585775,211921.46279585775
2007-11-23,138663.9037747827,345628.404554123,213474.60585594687,213474.60585594687
2007-11-30,143022.11984889596,349112.6799573774,215626.6405515988,215626.6405515988
2007-12-07,145186.84329173385,361547.5876994153,219589.8358435074,219589.8358435074
2007-12-14,141588.59169590892,348398.4618711853,216101.79263265306,216101.79263265306
2007-12-21,143268.6314941496,351006.6613595876,215512.57071121523,215512.57071121523
2007-12-28,142465.87064660125,356261.31034099305,216938.95796424907,216938.95796424907
2008-01-04,136672.44813051037,360106.2875665927,209949.58275728452,209949.58275728452
2008-01-11,135550.43942164088,361761.71801312314,210914.73372390989,210914.73372390989
2008-01-18,127725.9453532529,363496.75584396085,211926.29747947224,211926.29747947224
2008-01-25,128673.79532001863,365920.39343136165,213339.32945863638,213339.32945863638
2008-02-01,134999.173287275,367799.4451350728,214434.8563483205,214434.8563483205
2008-02-08,128702.80278405352,365016.17086827726,207590.32337346126,207590.32337346126
2008-02-15,130704.90831155011,363129.1237023941,206517.13055996253,206517.13055996253
2008-02-22,131169.11061457696,363037.6539317371,206465.11029131414,206465.11029131414
2008-02-29,129428.20694090599,369316.75360269286,210036.13107126276,210036.13107126276
2008-03-07,125453.10694803354,368439.52893976384,209537.2398823726,209537.2398823726
2008-03-14,125356.3670554772,372659.2828349833,211937.0789732855,211937.0789732855
2008-03-21,128377.74307011686,376556.3947577034,214153.42660066768,214153.42660066768
2008-03-28,127823.75230609339,372730.81804138573,211977.76214793592,211977.76214793592
2008-04-04,133052.9589270885,373338.4268850513,212323.31866407895,212323.31866407895
2008-04-11,129641.30820347655,372307.02510653547,211736.7445727976,211736.7445727976
2008-04-18,134598.30049412142,368020.06239353016,209298.68279113507,209298.68279113507
2008-04-25,135686.92989973363,365242.820741488,207719.22265033567,207719.22265033567
2008-05-02,137543.42831758366,365251.4087005154,207724.1067550244,207724.1067550244
2008-05-09,135006.58055041247,367821.9074577134,206871.09790036496,206871.09790036496
2008-05-16,138661.2102245509,366660.8723661747,206218.10633238702,206218.10633238702
2008-05-23,133781.87505905092,365632.01368464215,205639.45367272335,205639.45367272335
2008-05-30,136415.95998959048,361853.42439186235,203514.29228439092,203514.29228439092
2008-06-06,132469.76386266705,364389.34984052693,204048.04475659726,204048.04475659726
2008-06-13,132333.6463376833,356820.23096772644,199809.5457247207,199809.5457247207
2008-06-20,128531.46190988459,358298.6836390157,200637.438683101,200637.438683101
2008-06-27,124575.29964710346,362147.7102775428,202792.78806461074,202792.78806461074
2008-07-04,123383.57978627298,362030.9775561806,202727.42094133038,202727.42094133038
2008-07-11,120970.78036708532,362251.93599087064,202851.1516063202,202851.1516063202
2008-07-18,123061.18254314241,360134.99192937184,201665.7209761523,201665.7209761523
2008-07-25,122572.8004468807,359992.0683212438,201585.6876744083,201585.6876744083
2008-08-01,123236.97813500237,364511.70332754974,204116.55935453234,204116.55935453234
2008-08-08,126372.63319813092,366556.46101331845,205261.56759356215,205261.56759356215
2008-08-15,127154.09427923082,368985.46284537663,206621.74201896338,206621.74201896338
2008-08-22,126646.1839437885,368464.88733086374,206330.23400444264,206330.23400444264
2008-08-29,125806.0863461038,370123.94512058253,207259.2608771503,207259.2608771503
2008-09-05,121537.37901815536,372438.48965296894,208555.34235302825,208555.34235302825
2008-09-12,123168.69663662599,371374.81870850443,207959.71578881232,207959.71578881232
2008-09-19,121946.12526583268,369439.97539301176,206876.25658340624,206876.25658340624
2008-09-26,118733.3414277971,367385.65462668566,205725.8932814734,205725.8932814734
2008-10-03,108407.44049740341,369843.79046812636,207102.38195330644,207102.38195330644
2008-10-10,86949.92524362126,353510.77665715886,197956.3420523901,197956.3420523901
2008-10-17,91577.4963409156,356372.05958186695,199558.58203700447,199558.58203700447
2008-10-24,85515.55276623464,359264.41548352863,201178.22203672607,201178.22203672607
2008-10-31,95134.08078661612,357879.5400238044,200402.72975103828,200402.72975103828
2008-11-07,92216.11638126084,360717.2890704139,201991.79140919042,201991.79140919042
2008-11-14,85102.85425158257,362330.05589903664,202894.8966129314,202894.8966129314
2008-11-21,78127.21699903696,370430.9706183652,207431.18673760808,207431.18673760808
2008-11-28,88512.15329864594,380630.54283315263,213142.66751686772,213142.66751686772
2008-12-05,86389.90507100198,385192.5942819087,215697.29124175175,215697.29124175175
2008-12-12,87431.37662794032,390047.1953898106,218415.73475436843,218415.73475436843
2008-12-19,87348.75715448381,400023.5347011218,224002.2112284814,224002.2112284814
2008-12-26,86328.56982428108,399990.52795616136,223983.7283563121,223983.7283563121
2009-01-02,92073.25462088903,394851.8258448743,221106.1960715359,221106.1960715359
2009-01-09,88240.1772438931,395037.461985463,221210.14722032732,221210.14722032732
2009-01-16,84248.59479556368,394124.7398959756,220699.04787604747,220699.04787604747
2009-01-23,82317.17942193926,387276.58111518703,216864.26672776698,216864.26672776698
2009-01-30,82039.86806576572,381640.0559248062,213707.9671684581,213707.9671684581
2009-02-06,86150.3085979781,380336.8864620271,212978.22800077123,212978.22800077123
2009-02-13,81970.56094633951,382187.35795111797,214014.44129677472,214014.44129677472
2009-02-20,76681.51089105957,382012.9548702188,213916.78035341133,213916.78035341133
2009-02-27,73224.76910058629,375053.675460229,210019.77469958327,210019.77469958327
2009-03-06,68262.58136593662,376079.2919739009,210594.09182596588,210594.09182596588
2009-03-13,75364.16281143656,380779.78075056226,213226.236658678,213226.236658678
2009-03-20,76522.08897666639,389217.79369461717,217951.2925463399,217951.2925463399
2009-03-27,81410.05904262108,388594.3592388082,217602.18634497205,217602.18634497205
2009-04-03,84053.57657887627,386510.6391315402,216435.3602182092,216435.3602182092
2009-04-10,85599.77283011738,386965.3457711987,216689.9834688634,216689.9834688634
2009-04-17,86866.68418164972,387500.8010769006,216989.82375846253,216989.82375846253
2009-04-24,86447.72316270867,386099.4322568087,216205.09564319855,216205.09564319855
2009-05-01,87674.65601291577,382816.14058436314,214366.54233086566,214366.54233086566
2009-05-08,92752.20539605134,382960.61078886787,214447.44168417464,214447.44168417464
2009-05-15,88492.64577908246,385001.3166381914,215590.18100589208,215590.18100589208
2009-05-22,88801.92750454588,377913.19690571574,211621.0283041315,211621.0283041315
2009-05-29,92303.31489011143,378846.23478147265,212143.50393168585,212143.50393168585
2009-06-05,94318.40125776365,370032.88833649555,207208.2715747382,207208.2715747382
2009-06-12,94847.12444865098,372007.03877121507,208313.74168915342,208313.74168915342
2009-06-19,92333.17185845021,370945.69639401545,207719.4190587591,207719.4190587591
2009-06-26,92132.47128675453,377126.0818444101,211180.26545162723,211180.26545162723
2009-07-03,90096.06443303668,377013.371930868,211117.15099042517,211117.15099042517
2009-07-10,88240.1772438931,381850.7841794031,213825.96921309602,213825.96921309602
2009-07-17,94429.82099908337,376362.588173818,210752.72993025006,210752.72993025006
2009-07-24,98372.31867434231,378348.0718246523,211864.5463349453,211864.5463349453
2009-07-31,99124.73085217299,382757.97013377276,214333.96847350468,214333.96847350468
2009-08-07,101522.39459101962,374869.4443607359,209916.61033528068,209916.61033528068
2009-08-14,101111.02731177057,382030.19085698173,213926.4320334068,213926.4320334068
2009-08-21,103297.9725440209,392915.1063962464,220021.6862830156,220021.6862830156
2009-08-28,103709.26730460986,394608.96611296653,220970.20128061352,220970.20128061352
2009-09-04,102385.0765714172,391951.8908017028,219482.31196038044,219482.31196038044
2009-09-11,105103.71825961846,408580.14278286556,222849.85151867403,222849.85151867403
2009-09-18,107569.86033320459,419867.9956477804,229006.52941735435,229006.52941735435
2009-09-25,105281.76192994117,414846.31000654364,226267.5761929002,226267.5761929002
2009-10-02,103306.16715261075,398390.0101949579,217291.8977750002,217291.8977750002
2009-10-09,108114.16467620211,412754.6993263222,217828.81626418963,217828.81626418963
2009-10-16,109757.14743913819,406436.7487948461,214494.55577549414,214494.55577549414
2009-10-23,108940.70128445051,408638.1543677598,215656.33435935483,215656.33435935483
2009-10-30,104384.67502523649,390231.0119827971,205942.07539860383,205942.07539860383
2009-11-06,107983.13381723309,410372.2324885262,210415.33888991713,210415.33888991713
2009-11-13,110492.95284380889,428577.89203911286,219750.15669866896,219750.15669866896
2009-11-20,110301.3999830928,419446.38964414835,216728.71246706936,216728.71246706936
2009-11-27,110442.5938142826,422113.20070903836,216737.94819517236,216737.94819517236
2009-12-04,111894.03407631117,423134.5463940096,216100.7739287457,216100.7739287457
2009-12-11,111994.80393440666,415161.97903363284,212029.07146091602,212029.07146091602
2009-12-18,111685.75012473209,413581.0649210817,211782.57868861806,211782.57868861806
2009-12-25,113986.09382174167,432537.2214103267,215357.3717541851,215357.3717541851
2010-01-01,112932.21121411984,430115.4608931482,214151.59349006927,214151.59349006927
2010-01-08,116104.09452786623,449551.0088400417,216789.47212643505,216789.47212643505
2010-01-15,115161.66274098986,438754.328514444,211582.92919253404,211582.92919253404
2010-01-22,110672.32256963034,421907.2856769529,203458.68644407505,203458.68644407505
2010-01-29,108828.00728667497,405774.7615668997,199739.23477461885,199739.23477461885
2010-02-05,108088.17191646513,396657.1101165988,197014.07161024254,197014.07161024254
2010-02-12,109486.65283701287,413053.6826275243,200576.9471706761,200576.9471706761
2010-02-19,112628.20263122562,425743.93214278884,203843.5214200269,203843.5214200269
2010-02-26,112222.81296152947,428562.7020757933,203691.2215967047,203691.2215967047
2010-03-05,115779.82215938193,437269.4710150207,208762.3038269171,208762.3038269171
2010-03-12,117006.009103371,439197.32446707174,209682.70452892958,209682.70452892958
2010-03-19,118006.76661257465,430038.68015958724,205310.1612523008,205310.1612523008
2010-03-26,118627.53670272985,453708.2696041461,216610.556890746,216610.556890746
2010-04-02,119868.95256533724,457986.31684276095,218652.99309225008,218652.99309225008
2010-04-09,121649.66898339613,483100.7099980432,230643.1705957044,230643.1705957044
2010-04-16,121456.3342356036,497588.47143498465,237559.9545363943,237559.9545363943
2010-04-23,123949.38073208212,504166.046645215,238986.22943312183,238986.22943312183
2010-04-30,120896.66629647618,482854.6166971904,228884.1245393137,228884.1245393137
2010-05-07,113214.08088607028,444035.45780039893,219310.57711922907,219310.57711922907
2010-05-14,115890.28879831193,467812.0657774046,225454.0995108675,225454.0995108675
2010-05-21,111026.29650932466,450313.2086190427,221661.67752914026,221661.67752914026
2010-05-28,111290.91709998292,448946.059642413,220988.71362359254,220988.71362359254
2010-06-04,108696.13728321064,451119.64011964615,222058.6344822447,222058.6344822447
2010-06-11,111606.31111251084,451546.6384015046,222268.81964592013,222268.81964592013
2010-06-18,114233.26849474468,453218.59976942756,227982.36247925367,227982.36247925367
2010-06-25,110286.77193337234,435598.5487588514,221111.77326052258,221111.77326052258
2010-07-02,104489.7442038943,437490.5838167259,211786.14167348936,211786.14167348936
2010-07-09,110378.77739340586,437681.5312623851,211878.57800074873,211878.57800074873
2010-07-16,109049.68647075302,442148.0730275693,212789.55836576677,212789.55836576677
2010-07-23,112883.72730994724,442125.5177703743,213122.0921908842,213122.0921908842
2010-07-30,112740.52367589214,445444.9134158282,212907.62434124376,212907.62434124376
2010-08-06,114908.05462685628,449820.3665905539,221004.87853598795,221004.87853598795
2010-08-13,110736.62590151055,446119.53345459985,222254.90872124338,222254.90872124338
2010-08-20,109939.16927595712,446739.82361875445,222563.93471870935,222563.93471870935
2010-08-27,109254.16837258181,445520.8111650477,220050.15692851355,220050.15692851355
2010-09-03,113374.41964352313,445167.86293195677,227145.91806454875,227145.91806454875
2010-09-10,113977.67129736298,443140.58014004177,229385.92950275386,229385.92950275386
2010-09-17,115626.01008133694,445289.96065561444,229144.45593089054,229144.45593089054
2010-09-24,118020.98026995175,482257.9863085751,248168.05599727138,248168.05599727138
2010-10-01,117805.11293848926,472161.51603952557,242972.4522535502,242972.4522535502
2010-10-08,119788.93340383528,474445.55740958225,244147.81092612102,244147.81092612102
2010-10-15,120981.22305413787,487506.1359887364,246176.10512175507,246176.10512175507
2010-10-22,121649.37890875578,500735.68062351743,252856.63184808954,252856.63184808954
2010-10-29,121793.25593036883,523003.6128567818,264101.27560048504,264101.27560048504
2010-11-05,126141.18471455824,526983.3395753795,266110.9192761412,266110.9192761412
