Date,Ticker,Action,Shares,Price,Value,Cost,Realized_PnL,Reason
2026-07-06,IEF,BUY,2.6483,94.18,249.42,0.2,0.0,R3 signal 2026-07-02 (22.3% deploy) + Vol regime 2026-07-02: BULL (vol 12.3% expo 1.00) -> rebalance (expo 1.00)
2026-07-08,SPY,SELL,0.1211,745.4,90.24,0.07,-0.19,Sys E signal 2026-07-07 -> rebalance (expo 1.00)
2026-07-08,IEF,SELL,0.4149,93.51,38.79,0.03,-0.29,Sys E signal 2026-07-07 -> rebalance (expo 1.00)
2026-07-08,AMD,BUY,0.0831,517.41,42.98,0.03,0.0,Sys E signal 2026-07-07 -> rebalance (expo 1.00)
2026-07-08,INTC,BUY,0.7787,110.24,85.84,0.07,0.0,Sys E signal 2026-07-07 -> rebalance (expo 1.00)
2026-07-10,IEF,SELL,2.8568,93.63,267.49,0.21,-1.64,R3 signal 2026-07-09 (38.1% deploy) -> rebalance (expo 1.00)
2026-07-10,QCOM,SELL,0.5112,189.16,96.7,0.08,1.22,R3 signal 2026-07-09 (38.1% deploy) -> rebalance (expo 1.00)
2026-07-10,AMD,SELL,0.0372,557.89,20.74,0.02,0.61,R3 signal 2026-07-09 (38.1% deploy) -> rebalance (expo 1.00)
2026-07-10,AMAT,BUY,0.0251,602.5,15.15,0.01,0.0,R3 signal 2026-07-09 (38.1% deploy) -> rebalance (expo 1.00)
2026-07-10,INTC,BUY,0.6081,109.84,66.79,0.05,0.0,R3 signal 2026-07-09 (38.1% deploy) -> rebalance (expo 1.00)
2026-07-10,SPY,BUY,0.1994,754.95,150.53,0.12,0.0,R3 signal 2026-07-09 (38.1% deploy) -> rebalance (expo 1.00)
2026-07-10,AAPL,BUY,0.4816,315.32,151.84,0.12,0.0,R3 signal 2026-07-09 (38.1% deploy) -> rebalance (expo 1.00)
2026-07-13,SPY,SELL,0.0886,749.17,66.38,0.05,0.15,Vol regime 2026-07-10: BULL (vol 12.7% expo 1.00) -> rebalance (expo 1.00)
2026-07-13,IEF,SELL,0.3391,93.29,31.64,0.03,-0.31,Vol regime 2026-07-10: BULL (vol 12.7% expo 1.00) -> rebalance (expo 1.00)
2026-07-13,AMD,BUY,0.0421,534.39,22.48,0.02,0.0,Vol regime 2026-07-10: BULL (vol 12.7% expo 1.00) -> rebalance (expo 1.00)
2026-07-13,AMAT,BUY,0.0483,575.39,27.79,0.02,0.0,Vol regime 2026-07-10: BULL (vol 12.7% expo 1.00) -> rebalance (expo 1.00)
2026-07-13,INTC,BUY,0.4616,103.12,47.6,0.04,0.0,Vol regime 2026-07-10: BULL (vol 12.7% expo 1.00) -> rebalance (expo 1.00)
2026-07-15,SPY,SELL,0.0184,754.81,13.91,0.01,0.14,Sys E signal 2026-07-14 -> rebalance (expo 1.00)
2026-07-15,AMAT,SELL,0.0133,579.43,7.72,0.01,-0.85,Sys E signal 2026-07-14 -> rebalance (expo 1.00)
2026-07-15,INTC,BUY,0.1122,102.99,11.55,0.01,0.0,Sys E signal 2026-07-14 -> rebalance (expo 1.00)
2026-07-15,AMD,BUY,0.019,529.14,10.04,0.01,0.0,Sys E signal 2026-07-14 -> rebalance (expo 1.00)
2026-07-17,IEF,SELL,3.3585,93.84,315.17,0.25,-1.23,R3 signal 2026-07-16 (52.4% deploy) -> rebalance (expo 1.00)
2026-07-17,AAPL,SELL,0.4816,333.74,160.71,0.13,8.62,R3 signal 2026-07-16 (52.4% deploy) -> rebalance (expo 1.00)
2026-07-17,INTC,BUY,0.5395,95.04,51.27,0.04,0.0,R3 signal 2026-07-16 (52.4% deploy) -> rebalance (expo 1.00)
2026-07-17,AMD,BUY,0.1983,495.76,98.32,0.08,0.0,R3 signal 2026-07-16 (52.4% deploy) -> rebalance (expo 1.00)
2026-07-17,AMAT,BUY,0.241,529.66,127.65,0.1,0.0,R3 signal 2026-07-16 (52.4% deploy) -> rebalance (expo 1.00)
2026-07-17,META,BUY,0.3063,646.01,197.89,0.16,0.0,R3 signal 2026-07-16 (52.4% deploy) -> rebalance (expo 1.00)
2026-07-20,INTC,SELL,0.2715,97.06,26.35,0.02,-7.28,Vol regime 2026-07-17: BULL (vol 13.4% expo 1.00) -> rebalance (expo 1.00)
2026-07-20,AMD,SELL,0.0399,503.57,20.07,0.02,-1.4,Vol regime 2026-07-17: BULL (vol 13.4% expo 1.00) -> rebalance (expo 1.00)
2026-07-20,IEF,BUY,0.0698,93.54,6.53,0.01,0.0,Vol regime 2026-07-17: BULL (vol 13.4% expo 1.00) -> rebalance (expo 1.00)
2026-07-20,META,BUY,0.0118,645.85,7.64,0.01,0.0,Vol regime 2026-07-17: BULL (vol 13.4% expo 1.00) -> rebalance (expo 1.00)
2026-07-20,SPY,BUY,0.0249,742.09,18.48,0.01,0.0,Vol regime 2026-07-17: BULL (vol 13.4% expo 1.00) -> rebalance (expo 1.00)
2026-07-20,AMAT,BUY,0.0261,525.7,13.71,0.01,0.0,Vol regime 2026-07-17: BULL (vol 13.4% expo 1.00) -> rebalance (expo 1.00)
2026-07-22,AMD,SELL,0.1809,552.33,99.9,0.08,2.46,Sys E signal 2026-07-21 -> rebalance (expo 1.00)
2026-07-22,INTC,SELL,0.2554,102.62,26.21,0.02,-5.43,Sys E signal 2026-07-21 -> rebalance (expo 1.00)
2026-07-22,AMAT,SELL,0.028,553.92,15.52,0.01,-2.25,Sys E signal 2026-07-21 -> rebalance (expo 1.00)
2026-07-22,META,BUY,0.0228,627.17,14.29,0.01,0.0,Sys E signal 2026-07-21 -> rebalance (expo 1.00)
2026-07-22,IEF,BUY,0.4194,93.1,39.04,0.03,0.0,Sys E signal 2026-07-21 -> rebalance (expo 1.00)
2026-07-22,SPY,BUY,0.1178,747.41,88.08,0.07,0.0,Sys E signal 2026-07-21 -> rebalance (expo 1.00)
2026-07-24,META,SELL,0.3409,595.19,202.92,0.16,-17.23,R3 signal 2026-07-23 (38.9% deploy) -> rebalance (expo 1.00)
2026-07-24,AMD,SELL,0.338,521.95,176.42,0.14,-5.66,R3 signal 2026-07-23 (38.9% deploy) -> rebalance (expo 1.00)
2026-07-24,AMAT,SELL,0.1235,536.25,66.21,0.05,-12.11,R3 signal 2026-07-23 (38.9% deploy) -> rebalance (expo 1.00)
2026-07-24,SPY,SELL,0.0119,738.93,8.81,0.01,-0.1,R3 signal 2026-07-23 (38.9% deploy) -> rebalance (expo 1.00)
2026-07-24,IEF,BUY,2.2545,93.03,209.74,0.17,0.0,R3 signal 2026-07-23 (38.9% deploy) -> rebalance (expo 1.00)
2026-07-24,INTC,BUY,2.6417,92.32,243.88,0.2,0.0,R3 signal 2026-07-23 (38.9% deploy) -> rebalance (expo 1.00)
2026-07-27,SPY,SELL,0.0678,739.09,50.12,0.04,-0.57,Vol regime 2026-07-24: BULL (vol 12.8% expo 1.00) -> rebalance (expo 1.00)
2026-07-27,IEF,SELL,0.2319,93.28,21.63,0.02,-0.16,Vol regime 2026-07-24: BULL (vol 12.8% expo 1.00) -> rebalance (expo 1.00)
2026-07-27,INTC,SELL,0.0887,91.67,8.14,0.01,-2.46,Vol regime 2026-07-24: BULL (vol 12.8% expo 1.00) -> rebalance (expo 1.00)
2026-07-27,AMAT,BUY,0.0641,516.89,33.15,0.03,0.0,Vol regime 2026-07-24: BULL (vol 12.8% expo 1.00) -> rebalance (expo 1.00)
2026-07-27,AMD,BUY,0.0942,494.95,46.61,0.04,0.0,Vol regime 2026-07-24: BULL (vol 12.8% expo 1.00) -> rebalance (expo 1.00)
